year_id,sex_id,location_id,pop_internal_80plus,pop_observed_80plus,diff,flag_diff
2000,8507,12,3824,3824,0,FALSE
2000,8507,13,4071,4071,0,FALSE
2000,8507,14,3200,3200,0,FALSE
2000,8507,15,25148,25148,0,FALSE
2000,8507,16,1206,1206,0,FALSE
2000,8507,17,129,129,0,FALSE
2000,8507,18,547,547,0,FALSE
2000,8507,19,555,555,0,FALSE
2000,8507,20,4244,4244,0,FALSE
2000,8507,21,4719,4719,0,FALSE
2000,8507,22,962,962,0,FALSE
2000,8507,23,533,533,0,FALSE
2000,8507,24,428,428,-5.6843418860808e-14,FALSE
2000,8507,25,702,702,0,FALSE
2000,8532,0,113872,113872,0,FALSE
2000,8532,1,950,950,0,FALSE
2000,8532,2,5611,5611,0,FALSE
2000,8532,3,2053,2053,0,FALSE
2000,8532,4,5824,5824,0,FALSE
2000,8532,5,3707,3707,0,FALSE
2000,8532,6,5060,5060,0,FALSE
2000,8532,7,3531,3531,0,FALSE
2000,8532,8,4945,4945,0,FALSE
2000,8532,9,2396,2396,0,FALSE
2000,8532,10,2066,2066,0,FALSE
2000,8532,11,2741,2741,0,FALSE
2000,8532,12,5473,5473,0,FALSE
2000,8532,13,6596,6596,0,FALSE
2000,8532,14,4377,4377,0,FALSE
2000,8532,15,38544,38544,0,FALSE
2000,8532,16,1831,1831,2.27373675443232e-13,FALSE
2000,8532,17,106,106,0,FALSE
2000,8532,18,713,713,0,FALSE
2000,8532,19,931,931,0,FALSE
2000,8532,20,5593,5593,0,FALSE
2000,8532,21,7246,7246,0,FALSE
2000,8532,22,1533,1533,0,FALSE
2000,8532,23,810,810,0,FALSE
2000,8532,24,524,524,0,FALSE
2000,8532,25,711,711,0,FALSE
2001,8507,0,80314,80314,0,FALSE
2001,8507,1,717,717,0,FALSE
2001,8507,2,4037,4037,-4.54747350886464e-13,FALSE
2001,8507,3,1356,1356,0,FALSE
2001,8507,4,4211,4211,0,FALSE
2001,8507,5,2165,2165,0,FALSE
2001,8507,6,3548,3548,0,FALSE
2001,8507,7,2641,2641,0,FALSE
2001,8507,8,3724,3724,0,FALSE
2001,8507,9,1504,1504,0,FALSE
2001,8507,10,1427,1427,0,FALSE
2001,8507,11,2079,2079,0,FALSE
2001,8507,12,3979,3979,0,FALSE
2001,8507,13,4293,4293,0,FALSE
2001,8507,14,3345,3345,0,FALSE
2001,8507,15,26718,26718,0,FALSE
2001,8507,16,1285,1285,0,FALSE
2001,8507,17,140,140,0,FALSE
2001,8507,18,571,571,0,FALSE
2001,8507,19,590,590,0,FALSE
2001,8507,20,4368,4368,0,FALSE
2001,8507,21,4870,4870,0,FALSE
2001,8507,22,1001,1001,0,FALSE
2001,8507,23,559,559,0,FALSE
2001,8507,24,446,446,0,FALSE
2001,8507,25,740,740,0,FALSE
2001,8532,0,119861,119861,0,FALSE
2001,8532,1,973,973,0,FALSE
2001,8532,2,5788,5788,0,FALSE
2001,8532,3,2086,2086,0,FALSE
2001,8532,4,6100,6100,0,FALSE
2001,8532,5,3838,3838,0,FALSE
2001,8532,6,5162,5162,0,FALSE
2001,8532,7,3808,3808,0,FALSE
2001,8532,8,5100,5100,0,FALSE
2001,8532,9,2465,2465,0,FALSE
2001,8532,10,2202,2202,0,FALSE
2001,8532,11,2913,2913,4.54747350886464e-13,FALSE
2001,8532,12,5721,5721,0,FALSE
2001,8532,13,6991,6991,0,FALSE
2001,8532,14,4646,4646,0,FALSE
2001,8532,15,41100,41100,0,FALSE
2001,8532,16,1950,1950,-2.27373675443232e-13,FALSE
2001,8532,17,117,117,1.4210854715202e-14,FALSE
2001,8532,18,748,748,0,FALSE
2001,8532,19,967,967,0,FALSE
2001,8532,20,5804,5804,0,FALSE
2001,8532,21,7624,7624,-9.09494701772928e-13,FALSE
2001,8532,22,1599,1599,0,FALSE
2001,8532,23,855,855,0,FALSE
2001,8532,24,545,545,0,FALSE
2001,8532,25,759,759,0,FALSE
2002,8507,0,83933,83933,0,FALSE
2002,8507,1,734,734,0,FALSE
2002,8507,2,4153,4153,0,FALSE
2002,8507,3,1356,1356,0,FALSE
2002,8507,4,4433,4433,0,FALSE
2002,8507,5,2241,2241,0,FALSE
2002,8507,6,3589,3589,0,FALSE
2002,8507,7,2844,2844,0,FALSE
2002,8507,8,3783,3783,0,FALSE
2002,8507,9,1538,1538,0,FALSE
2002,8507,10,1522,1522,0,FALSE
2002,8507,11,2234,2234,0,FALSE
2002,8507,12,4136,4136,0,FALSE
2002,8507,13,4528,4528,0,FALSE
2002,8507,14,3501,3501,0,FALSE
2002,8507,15,28179,28179,0,FALSE
2002,8507,16,1371,1371,0,FALSE
2002,8507,17,150,150,0,FALSE
2002,8507,18,598,598,0,FALSE
2002,8507,19,632,632,0,FALSE
2002,8507,20,4506,4506,0,FALSE
2002,8507,21,5034,5034,0,FALSE
2002,8507,22,1041,1041,0,FALSE
2002,8507,23,588,588,0,FALSE
2002,8507,24,463,463,0,FALSE
2002,8507,25,779,779,0,FALSE
2002,8532,0,126322,126322,0,FALSE
2002,8532,1,991,991,0,FALSE
2002,8532,2,5959,5959,0,FALSE
2002,8532,3,2111,2111,0,FALSE
2002,8532,4,6392,6392,0,FALSE
2002,8532,5,3967,3967,0,FALSE
2002,8532,6,5253,5253,0,FALSE
2002,8532,7,4125,4125,0,FALSE
2002,8532,8,5257,5257,0,FALSE
2002,8532,9,2528,2528,0,FALSE
2002,8532,10,2350,2350,0,FALSE
2002,8532,11,3096,3096,0,FALSE
2002,8532,12,5976,5976,0,FALSE
2002,8532,13,7426,7426,0,FALSE
2002,8532,14,4941,4941,0,FALSE
2002,8532,15,43956,43956,0,FALSE
2002,8532,16,2077,2077,0,FALSE
2002,8532,17,127,127,1.4210854715202e-14,FALSE
2002,8532,18,781,781,0,FALSE
2002,8532,19,1001,1001,-1.13686837721616e-13,FALSE
2002,8532,20,6017,6017,0,FALSE
2002,8532,21,8040,8040,0,FALSE
2002,8532,22,1668,1668,0,FALSE
2002,8532,23,905,905,0,FALSE
2002,8532,24,565,565,0,FALSE
2002,8532,25,813,813,0,FALSE
2003,8507,0,87962,87962,0,FALSE
2003,8507,1,755,755,0,FALSE
2003,8507,2,4280,4280,0,FALSE
2003,8507,3,1356,1356,0,FALSE
2003,8507,4,4683,4683,0,FALSE
2003,8507,5,2320,2320,0,FALSE
2003,8507,6,3643,3643,0,FALSE
2003,8507,7,3074,3074,0,FALSE
2003,8507,8,3846,3846,0,FALSE
2003,8507,9,1567,1567,0,FALSE
2003,8507,10,1627,1627,0,FALSE
2003,8507,11,2408,2408,0,FALSE
2003,8507,12,4298,4298,0,FALSE
2003,8507,13,4802,4802,0,FALSE
2003,8507,14,3682,3682,0,FALSE
2003,8507,15,29784,29784,0,FALSE
2003,8507,16,1462,1462,0,FALSE
2003,8507,17,162,162,0,FALSE
2003,8507,18,625,625,0,FALSE
2003,8507,19,678,678,0,FALSE
2003,8507,20,4676,4676,0,FALSE
